Student_Stud_Id, Stud_age, Stud_sex, Advisor_id, Marks_Stud_Id, Maths_marks, English_marks, Physics_marks, Chemistry_marks
2, 16, 0, 3, 2, 100, 83, 83, 53
5, 12, 0, 1, 5, 75, 69, 53, 63
6, 20, 0, 8, 6, 66, 73, 72, 61
7, 19, 0, 9, 7, 90, 73, 95, 60
8, 16, 0, 8, 8, 64, 94, 86, 86
11, 15, 0, 1, 11, 92, 65, 92, 80
13, 17, 0, 7, 13, 68, 75, 83, 99
14, 12, 0, 5, 14, 91, 86, 68, 53
15, 20, 0, 2, 15, 94, 71, 60, 85
16, 14, 0, 6, 16, 100, 97, 75, 81
19, 19, 0, 3, 19, 87, 85, 95, 83
20, 19, 0, 9, 20, 73, 60, 50, 62
21, 19, 0, 8, 21, 78, 98, 74, 82
22, 15, 0, 4, 22, 60, 70, 72, 100
23, 13, 0, 3, 23, 80, 73, 62, 64
25, 19, 0, 5, 25, 84, 57, 88, 89
26, 12, 0, 8, 26, 69, 52, 66, 82
30, 17, 0, 2, 30, 83, 100, 61, 67
1, 15, 1, 9, 1, 91, 58, 58, 99
3, 20, 1, 9, 3, 88, 93, 71, 65
4, 18, 1, 4, 4, 53, 57, 92, 83
9, 20, 1, 8, 9, 96, 89, 72, 78
10, 19, 1, 5, 10, 87, 77, 81, 58
12, 12, 1, 5, 12, 96, 57, 76, 92
17, 16, 1, 8, 17, 84, 54, 67, 100
18, 13, 1, 2, 18, 51, 57, 52, 50
24, 15, 1, 9, 24, 51, 54, 75, 59
27, 14, 1, 2, 27, 97, 94, 70, 91
28, 13, 1, 10, 28, 91, 91, 73, 88
29, 18, 1, 5, 29, 92, 50, 75, 65
